company_name,hr_email,hr_name,job_role,apply_link,notes
TravClan,management@travclan.com,Hiring Team,SDE-1 Backend Python/Django,https://travclan.freshteam.com/jobs,Well-funded B2B Travel Tech - Connaught Place Delhi - Also Pronami on LinkedIn

JumpingMinds,piyush@jumpingminds.ai,Piyush Gupta,Backend Django Developer,https://jumpingminds.ai/careers,VC-backed - Gurugram - CTO direct email
JumpingMinds,hello@jumpingminds.ai,Hiring Team,Backend Django Developer,https://jumpingminds.ai/careers,VC-backed - Gurugram - general inquiry
OneNDF,letstalk@onendf.com,Komal Garg,AI Agent Django Developer,https://onendf.com/careers,Delhi FinTech - Komal Garg HR
TrueFan AI,nikhil@truefan.in,Nikhil Tewari,Python/Django SDE,https://truefan.in/careers,AI video startup Gurgaon - Sr Talent Partner direct
Elastiq,careers@elastiq.ai,Hiring Team,Python Django GenAI Developer,https://elastiq.ai/careers,GenAI startup Delhi NCR
TrainingMug,careers@trainingmug.com,Hiring Team,Python Backend Engineer Django,https://internshala.com/job/fresher-remote-python-backend-engineer-django-trainingmug,EdTech - 8.5-9 LPA - Remote
TrainingMug,careers@trainingmug.com,Hiring Team,Associate Backend Developer Django,https://internshala.com/job/fresher-remote-associate-backend-developer-django-python-trainingmug,EdTech - 9.6-10 LPA - Remote - Another role
Makunai Global,careers@makunaiglobal.ai,Hiring Team,Python Django FastAPI Developer,https://makunaiglobal.ai/careers,Noida Sector 16 - Kashish Gupta HR on LinkedIn
EXL,careers@exlservice.com,Hiring Team,GenAI Python Developer,https://www.exlservice.com/careers,MNC Noida/Bangalore - Freshers 0-6 months
rdash,hello@rdash.io,Hiring Team,SDE 1 Backend Python/Django/FastAPI,https://rdash.ai/career,YC W22 - Gurugram - Construction SaaS
Avishaan Technologies,hello@avishaantechnologies.com,Hiring Team,Python Developer,https://avishaantechnologies.com/careers,Gurgaon - 4-6.2 LPA
Plexmato,hr@redkaizen.in,Hiring Team,Python Developer,https://internshala.com/job/fresher-remote-python-developer-plexmato,Remote - 3-8 LPA - IT Consulting
BOL7 Technologies,hr@bol7.com,Hiring Team,Python Developer Fresher,https://bol7.com/careers,Noida Sec-16 - 20 openings - 1.8-3 LPA
Industrybuying.com,careers@industrybuying.com,Hiring Team,Python Django Developer,https://industrybuying.com/careers,Delhi NCR - E-commerce - Well-funded
Crownstack,careers@crownstack.com,Hiring Team,Junior Fullstack AI Engineer,https://crownstack.com/careers,Noida - AI - Intern-to-FTE (15k stipend)
StarClinch,ea.ceo@starclinch.com,Hiring Team,Python/Django Developer,https://careers.smartrecruiters.com/StarClinch,South Delhi - Artist booking platform - ea.ceo@ direct
Delhivery,careers@delhivery.com,Hiring Team,Backend Fullstack Developer,https://www.delhivery.com/careers,Gurgaon - Logistics MNC - Python/Django - Also Ankita Yadav HRBP on LI
Delphi Cloud,careers@delphicloud.ai,Hiring Team,Software Engineer Python/Go,https://delphicloud.ai/careers,Delhi - Hires freshers - careers@ direct
Leegality,hello@leegality.com,Hiring Team,Software Engineer Python/Django,https://leegality.com/careers,Delhi - FinTech - Doc infrastructure
Licious,careers@licious.com,Hiring Team,Software Engineer Python,https://licious.com/careers,Delhi NCR - D2C Food - Series F funded
Tata 1mg,careers@1mg.com,Hiring Team,Software Engineer Python,https://www.1mg.com/careers,Delhi NCR - HealthTech
Giva,hr@giva.co,Hiring Team,Python Django Developer,https://giva.co/careers,Delhi NCR - D2C Jewelry
Chaayos,careers@chaayos.com,Hiring Team,Software Engineer Python,https://chaayos.com/careers,Delhi NCR - Tech-enabled F&B
Rivigo,hr@rivigo.com,Hiring Team,Software Engineer Python,https://rivigo.com/careers,Gurgaon - Logistics - VC backed
Bombay Shaving Company,hr@bombayshavingcompany.com,Hiring Team,Python Developer,https://bombayshavingcompany.com/careers,Delhi NCR office - D2C
Rise Infraventures,hr@riseinfra.com,Hiring Team,Python Django Developer,https://riseinfra.com/careers,Gurugram - 2-6 LPA
Jivi AI,careers@jivi.ai,Hiring Team,Python Developer AI,https://jivi.ai/careers,Delhi - AI HealthTech
Healofy,careers@healofy.com,Hiring Team,Python Django Developer,https://healofy.com/careers,Delhi - HealthTech - YC backed
Startupcoe,team@startupcoe.com,Hiring Team,Python Developer Fresher,https://startupcoe.com/careers,PAN India/Delhi - 2-9 LPA
